time,low,high,open,close,volume
2020-01-02,6903.0,7186.18,7174.33,6945.02,8010.92738748
2020-01-03,6854.67,7401.2,6945.02,7334.45,14056.39238489
2020-01-04,7263.32,7398.0,7334.45,7348.63,4742.46620989
2020-01-05,7312.22,7488.87,7348.63,7355.4,5942.01494574
2020-01-06,7343.17,7805.0,7355.4,7764.63,11770.42968139
2020-01-07,7723.0,8216.0,7764.63,8158.52,19857.45754518
2020-01-08,7845.0,8469.39,8160.01,8045.51,23927.67532995
2020-01-09,7744.48,8048.67,8047.75,7813.78,9477.65983784
2020-01-10,7671.0,8199.77,7813.78,8198.09,13419.69851238
2020-01-11,8000.01,8290.0,8198.09,8020.0,7557.36879269
2020-01-12,7963.25,8185.0,8017.47,8180.81,3920.74009838
2020-01-13,8041.95,8195.81,8180.81,8104.5,6678.02840315
2020-01-14,8105.23,8893.69,8105.6,8815.69,27075.8082207
2020-01-15,8550.0,8900.0,8812.58,8808.81,14977.61979023
2020-01-16,8580.0,8850.0,8808.81,8714.76,9265.76423506
2020-01-17,8665.67,9013.0,8714.77,8899.42,15447.36512517
2020-01-18,8800.1,8980.0,8899.42,8909.32,5600.21827844
2020-01-19,8465.0,9194.99,8908.95,8697.53,15218.51476182
2020-01-20,8504.06,8734.84,8697.53,8628.89,5605.80561385
2020-01-21,8465.0,8774.31,8628.89,8722.03,7520.65103045
2020-01-22,8565.0,8791.76,8722.03,8660.38,5481.36960818
2020-01-23,8278.0,8665.0,8660.38,8385.22,12206.24491133
2020-01-24,8216.71,8509.99,8385.21,8427.26,8634.96792308
2020-01-25,8252.73,8437.76,8427.58,8326.81,3783.20831697
2020-01-26,8278.68,8595.0,8326.8,8595.0,5497.32293973
2020-01-27,8556.6,8985.0,8595.0,8895.96,9548.60475006
2020-01-28,8880.87,9418.91,8895.95,9394.5,17578.54006083
2020-01-29,9224.75,9439.83,9391.14,9288.44,12233.05063864
2020-01-30,9171.11,9574.68,9287.9,9503.08,12948.39766745
2020-01-31,9195.49,9522.5,9502.71,9334.98,9719.06131452
2020-02-01,9285.01,9458.08,9334.98,9380.18,4387.41986202
2020-02-02,9140.0,9480.0,9380.18,9323.5,7307.92291459
2020-02-03,9220.0,9619.95,9325.01,9280.49,11910.28572971
2020-02-04,9078.05,9350.0,9280.49,9164.33,8190.74898707
2020-02-05,9150.0,9769.7,9164.33,9613.82,13267.06193659
2020-02-06,9521.47,9857.0,9613.91,9763.01,12672.13678163
2020-02-07,9713.99,9885.0,9763.01,9808.05,8516.62840515
2020-02-08,9653.47,9955.0,9807.92,9905.64,8100.97112281
2020-02-09,9888.76,10178.91,9905.64,10168.35,9649.74938704
2020-02-10,9736.0,10199.0,10168.36,9851.78,13249.58715176
2020-02-11,9706.0,10400.0,9851.78,10270.01,16722.06581913
2020-02-12,10250.0,10483.86,10270.01,10351.13,13740.9848527
2020-02-13,10083.1,10522.51,10351.13,10236.49,17101.28534969
2020-02-14,10102.5,10395.66,10236.49,10371.33,8026.49620683
2020-02-15,9750.0,10400.0,10371.33,9911.22,12323.28859704
2020-02-16,9612.12,10048.34,9911.22,9921.0,9430.32887897
2020-02-17,9467.0,9969.38,9920.52,9700.0,10144.62802455
2020-02-18,9610.27,10298.25,9700.0,10188.04,11606.56132767
2020-02-19,9280.98,10315.0,10188.04,9600.08,16637.05014888
2020-02-20,9393.39,9698.1,9593.48,9610.05,12382.01006133
2020-02-21,9566.98,9769.66,9610.05,9695.66,7073.36617743
2020-02-22,9575.01,9722.97,9695.66,9668.23,3301.24362823
2020-02-23,9667.13,10025.66,9668.23,9965.01,5631.93728472
2020-02-24,9474.74,10030.0,9965.0,9660.0,11274.83220813
2020-02-25,9230.0,9681.56,9660.0,9305.0,9370.80406077
2020-02-26,8602.0,9375.36,9304.99,8778.3,21610.46289952
2020-02-27,8520.0,8972.92,8778.3,8812.49,14781.02020263
