,id,display_name,fx_stablecoin,max_slippage_percentage,status
367,OMG-USD,OMG/USD,False,0.03000000,delisted
368,RAD-USD,RAD/USD,False,0.03000000,online
369,SUPER-USDT,SUPER/USDT,False,0.03000000,online
370,AVAX-USD,AVAX/USD,False,0.03000000,online
371,ETC-EUR,ETC/EUR,False,0.03000000,online
372,LCX-USDT,LCX/USDT,False,0.03000000,online
373,SPELL-USDT,SPELL/USDT,False,0.03000000,online
374,POLY-USDT,POLY/USDT,False,0.03000000,online
375,SHIB-EUR,SHIB/EUR,False,0.03000000,online
376,ENS-EUR,ENS/EUR,False,0.03000000,online
377,COMP-BTC,COMP/BTC,False,0.03000000,online
378,ELA-USDT,ELA/USDT,False,0.03000000,online
379,MASK-GBP,MASK/GBP,False,0.05000000,online
380,AMP-USD,AMP/USD,False,0.03000000,online
381,XLM-EUR,XLM/EUR,False,0.03000000,online
382,AVT-USD,AVT/USD,False,0.05000000,online
383,TONE-USD,TONE/USD,False,0.05000000,online
384,REQ-EUR,REQ/EUR,False,0.03000000,online
385,WCFG-EUR,WCFG/EUR,False,0.03000000,online
386,MIR-BTC,MIR/BTC,False,0.03000000,delisted
387,MATH-USDT,MATH/USDT,False,0.03000000,online
388,ETH-DAI,ETH/DAI,False,0.03000000,online
389,INDEX-USD,INDEX/USD,False,0.03000000,online
390,MATIC-USDT,MATIC/USDT,False,0.03000000,online
391,NU-GBP,NU/GBP,False,0.03000000,delisted
392,ATOM-GBP,ATOM/GBP,False,0.03000000,online
393,MKR-USD,MKR/USD,False,0.03000000,online
394,SHIB-GBP,SHIB/GBP,False,0.03000000,online
395,MATIC-GBP,MATIC/GBP,False,0.03000000,online
396,MUSE-USD,MUSE/USD,False,0.05000000,online
397,MANA-ETH,MANA/ETH,False,0.03000000,online
398,CTSI-BTC,CTSI/BTC,False,0.03000000,online
399,CRV-BTC,CRV/BTC,False,0.03000000,online
400,VGX-USDT,VGX/USDT,False,0.03000000,online
401,CRO-EUR,CRO/EUR,False,0.03000000,online
402,AXS-BTC,AXS/BTC,False,0.03000000,online
403,XRP-GBP,XRP/GBP,False,0.05000000,delisted
404,XTZ-BTC,XTZ/BTC,False,0.03000000,online
405,USDC-EUR,USDC/EUR,True,0.01000000,online
406,POWR-EUR,POWR/EUR,False,0.03000000,online
407,ORN-USD,ORN/USD,False,0.03000000,online
408,API3-USD,API3/USD,False,0.03000000,online
409,CRO-USDT,CRO/USDT,False,0.03000000,online
410,ZEC-BTC,ZEC/BTC,False,0.03000000,online
411,QSP-USDT,QSP/USDT,False,0.05000000,online
412,OP-USDT,OP/USDT,False,0.03000000,online
413,RAD-BTC,RAD/BTC,False,0.03000000,online
414,FORT-USD,FORT/USD,False,0.03000000,online
415,AAVE-BTC,AAVE/BTC,False,0.03000000,online
416,STORJ-BTC,STORJ/BTC,False,0.03000000,online
417,GMT-USDT,GMT/USDT,False,0.03000000,online
418,COVAL-USD,COVAL/USD,False,0.03000000,online
419,MINA-USD,MINA/USD,False,0.03000000,online
420,RLY-USD,RLY/USD,False,0.05000000,delisted
421,SWFTC-USD,SWFTC/USD,False,0.03000000,online
422,PYR-USD,PYR/USD,False,0.03000000,online
423,REN-USD,REN/USD,False,0.03000000,online
424,POLS-USD,POLS/USD,False,0.03000000,online
425,UNI-GBP,UNI/GBP,False,0.03000000,online
426,SNX-USD,SNX/USD,False,0.03000000,online
427,CLV-EUR,CLV/EUR,False,0.03000000,online
428,SNX-EUR,SNX/EUR,False,0.03000000,online
429,OOKI-USD,OOKI/USD,False,0.05000000,online
430,LDO-USD,LDO/USD,False,0.03000000,online
431,MXC-USD,MXC/USD,False,0.03000000,online
432,CTSI-USD,CTSI/USD,False,0.03000000,online
433,DASH-USD,DASH/USD,False,0.03000000,online
434,ERN-USD,ERN/USD,False,0.03000000,online
435,XYO-EUR,XYO/EUR,False,0.03000000,online
436,ORN-BTC,ORN/BTC,False,0.03000000,online
437,FORT-USDT,FORT/USDT,False,0.03000000,delisted
438,GAL-USD,GAL/USD,False,0.03000000,online
439,ETH-GBP,ETH/GBP,False,0.03000000,online
440,LINK-EUR,LINK/EUR,False,0.03000000,online
441,GALA-USD,GALA/USD,False,0.03000000,delisted
442,BNT-USD,BNT/USD,False,0.03000000,online
443,INV-USD,INV/USD,False,0.05000000,online
444,GTC-USD,GTC/USD,False,0.05000000,online
445,BADGER-EUR,BADGER/EUR,False,0.03000000,online
446,ICP-EUR,ICP/EUR,False,0.03000000,online
447,APT-USDT,APT/USDT,False,0.03000000,online
448,FARM-USD,FARM/USD,False,0.03000000,online
449,SUSHI-ETH,SUSHI/ETH,False,0.03000000,online
450,MUSD-USD,MUSD/USD,True,0.01000000,delisted
451,ATA-USDT,ATA/USDT,False,0.03000000,delisted
452,TRIBE-USD,TRIBE/USD,False,0.03000000,delisted
453,BTRST-EUR,BTRST/EUR,False,0.03000000,online
454,RPL-USD,RPL/USD,False,0.05000000,online
455,BICO-EUR,BICO/EUR,False,0.03000000,online
456,NKN-USD,NKN/USD,False,0.03000000,online
457,MASK-USD,MASK/USD,False,0.05000000,online
458,SKL-BTC,SKL/BTC,False,0.03000000,online
459,BIT-USD,BIT/USD,False,0.03000000,online
460,FIS-USDT,FIS/USDT,False,0.03000000,online
461,GALA-USDT,GALA/USDT,False,0.03000000,delisted
462,OXT-USD,OXT/USD,False,0.03000000,online
463,HOPR-USD,HOPR/USD,False,0.03000000,online
464,PAX-USDT,PAX/USDT,True,0.01000000,delisted
465,NKN-GBP,NKN/GBP,False,0.03000000,online
466,MAGIC-USD,MAGIC/USD,False,0.03000000,online
467,DASH-BTC,DASH/BTC,False,0.03000000,online
468,AIOZ-USDT,AIOZ/USDT,False,0.03000000,delisted
469,DNT-USD,DNT/USD,False,0.05000000,online
470,WLUNA-GBP,WLUNA/GBP,False,0.10000000,delisted
471,ARPA-USD,ARPA/USD,False,0.03000000,online
472,TIME-USD,TIME/USD,False,0.05000000,online
473,UNI-BTC,UNI/BTC,False,0.03000000,online
474,SOL-USDT,SOL/USDT,False,0.03000000,online
475,EGLD-USD,EGLD/USD,False,0.03000000,online
476,LQTY-EUR,LQTY/EUR,False,0.03000000,online
477,VGX-USD,VGX/USD,False,0.03000000,online
478,NEAR-USDT,NEAR/USDT,False,0.03000000,online
479,STORJ-USD,STORJ/USD,False,0.03000000,online
480,DNT-USDC,DNT/USDC,False,0.03000000,delisted
481,DOGE-GBP,DOGE/GBP,False,0.03000000,online
482,FIL-EUR,FIL/EUR,False,0.03000000,online
483,ANKR-BTC,ANKR/BTC,False,0.03000000,online
484,BAND-GBP,BAND/GBP,False,0.03000000,online
485,AUCTION-USD,AUCTION/USD,False,0.03000000,online
486,BTC-EUR,BTC/EUR,False,0.03000000,online
487,FIL-USD,FIL/USD,False,0.03000000,online
488,IMX-USDT,IMX/USDT,False,0.03000000,online
489,ANKR-USD,ANKR/USD,False,0.03000000,online
490,OMG-GBP,OMG/GBP,False,0.03000000,delisted
491,KSM-USD,KSM/USD,False,0.03000000,online
492,DOT-BTC,DOT/BTC,False,0.03000000,online
493,MDT-USD,MDT/USD,False,0.03000000,online
494,USDT-EUR,USDT/EUR,True,0.01000000,online
495,FIL-BTC,FIL/BTC,False,0.03000000,online
496,XRP-USD,XRP/USD,False,0.05000000,online
497,LQTY-USD,LQTY/USD,False,0.03000000,online
498,MANA-USD,MANA/USD,False,0.03000000,online
499,MPL-USD,MPL/USD,False,0.03000000,online
500,UMA-EUR,UMA/EUR,False,0.03000000,online
501,DESO-EUR,DESO/EUR,False,0.03000000,delisted
502,MULTI-USD,MULTI/USD,False,0.03000000,online
503,RAD-GBP,RAD/GBP,False,0.03000000,online
504,ANKR-EUR,ANKR/EUR,False,0.03000000,online
505,FIDA-USDT,FIDA/USDT,False,0.03000000,online
506,XRP-USDT,XRP/USDT,False,0.05000000,online
507,OGN-BTC,OGN/BTC,False,0.03000000,online
